MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo
23614686,234270000,2015-01-31 23:58:04,48.41467,-123.388,0.2,-201.6,84.0,WAVE VENTURE,IMO8027810,MZDO7,1005.0,moored,141.5,19.41,6.1,70.0
24363909,316001538,2015-01-31 23:58:02,48.42329,-123.38429,0.0,132.9,511.0,JOHN STRICKLAND,,CZ4835,,moored,14.94,4.42,1.4,
23615865,366825190,2015-01-31 23:58:01,48.14055,-123.42561,0.0,-110.3,294.0,PUGET SOUND,,WCZ5670,,reserved for future use (9),22.62,6.0,0.0,50.0
23630383,369077000,2015-01-31 23:58:00,48.2227,-123.85296000000001,8.4,105.0,106.0,HOS DOMINATOR,IMO9265811,WDA6788,1010.0,under way using engine,72.54,16.46,4.11,70.0
23629950,316005724,2015-01-31 23:57:58,48.41472,-123.38553,0.1,163.6,511.0,CHARLES H CATES IV,,,1025.0,under way using engine,14.23,5.36,1.71,52.0
24363872,366824910,2015-01-31 23:57:58,48.14067,-123.42551999999999,0.0,-69.8,291.0,JUAN DE FUCA,,WDA5852,1001.0,undefined,22.65,6.0,0.0,90.0
23636454,316011773,2015-01-31 23:57:57,48.43312,-123.43371,0.0,-189.6,165.0,HMCS GRIZZLY,,CGCA,1018.0,under way using engine,0.0,0.0,0.0,
23614307,352910000,2015-01-31 23:57:57,48.26035,-123.6381,13.5,-129.6,278.0,LEO FOREST,IMO9166211,3FPH8,70.0,under way using engine,177.0,29.0,6.4,70.0
23617116,316005175,2015-01-31 23:57:48,48.414559999999994,-123.38658000000001,0.0,-112.7,511.0,PACIFIC PILOT TWO,,CG2436,,under way using engine,18.78,5.06,2.29,0.0
23654204,368168000,2015-01-31 23:57:47,48.12562,-123.45298000000001,0.0,202.4,30.0,SOLUTION,IMO9609809,WDF6808,1019.0,moored,43.53,7.9,2.37,
23619668,316116000,2015-01-31 23:57:45,48.43659,-123.42443,0.0,89.5,84.0,CCGS W E RICKER,IMO7809364,CG2965,1020.0,moored,58.0,9.53,3.85,51.0
23637215,316013431,2015-01-31 23:57:45,48.41465,-123.38623,0.0,-111.6,246.0,PACIFIC SCOUT,,,,undefined,19.0,6.06,2.88,50.0
23633849,636014569,2015-01-31 23:57:42,48.498909999999995,-123.20915,15.2,176.1,175.0,W-STAR,IMO9476678,A8UX7,1004.0,under way using engine,229.2,38.0,14.9,
23624595,316002500,2015-01-31 23:57:38,48.43107,-123.37597,0.0,-169.3,266.0,ORCA CHIEF,IMO9165499,CFL9619,1001.0,undefined,34.52,9.5,5.06,
23636836,311037800,2015-01-31 23:57:32,48.422470000000004,-123.37353,0.0,-187.2,141.0,VICTORIA CLIPPER IV,IMO9059999,C6YL9,1012.0,moored,40.0,10.1,2.4,60.0
23633353,316010312,2015-01-31 23:57:27,48.37856,-123.51018,1.1,169.8,511.0,RAMPART,,CFK9385,1019.0,,0.0,0.0,0.0,
23654060,369272000,2015-01-31 23:57:23,48.12512,-123.44128,0.0,-163.8,511.0,POLAR DISCOVERY,IMO9206114,WACW,1024.0,moored,272.69,46.2,17.52,80.0
23631570,367001670,2015-01-31 23:57:21,48.12545,-123.45223,0.0,48.5,511.0,VULCAN,,WB4266,1025.0,under way using engine,21.98,5.5,0.0,52.0
23613828,316013711,2015-01-31 23:57:14,48.43974,-123.44742,0.0,-78.5,292.0,CFAV GLENDYNE,,CGNF,,under way using engine,29.0,0.0,0.0,
23633619,211378370,2015-01-31 23:57:06,48.237159999999996,-123.97417,14.3,107.0,105.0,HANJIN BRUSSELS,IMO9200691,DIGW,71.0,under way using engine,278.0,40.0,12.3,71.0
23615855,366825190,2015-01-31 23:57:00,48.14055,-123.42566000000001,0.0,-116.0,293.0,PUGET SOUND,,WCZ5670,,reserved for future use (9),22.62,6.0,0.0,50.0
23654944,316003657,2015-01-31 23:56:50,48.41478,-123.38598,0.0,0.0,511.0,SEASPAN FOAM,,,1025.0,under way using engine,17.68,6.1,2.44,
23636452,316011773,2015-01-31 23:56:49,48.43313,-123.43372,0.0,109.0,165.0,HMCS GRIZZLY,,CGCA,1018.0,under way using engine,0.0,0.0,0.0,
23627573,352910000,2015-01-31 23:56:49,48.259570000000004,-123.63162,13.6,-129.6,278.0,LEO FOREST,IMO9166211,3FPH8,70.0,under way using engine,177.0,29.0,6.4,70.0
23616996,369077000,2015-01-31 23:56:49,48.223420000000004,-123.85696999999999,8.4,105.0,105.0,HOS DOMINATOR,IMO9265811,WDA6788,1010.0,under way using engine,72.54,16.46,4.11,70.0
23653957,366824910,2015-01-31 23:56:48,48.14066,-123.42551999999999,0.0,-54.2,293.0,JUAN DE FUCA,,WDA5852,1001.0,undefined,22.65,6.0,0.0,90.0
23630912,366980250,2015-01-31 23:56:39,48.13613,-123.46135,0.0,-194.9,511.0,BRIAN S,IMO8841943,WCP9410,1025.0,moored,30.05,8.84,3.51,31.0
23633618,316005175,2015-01-31 23:56:39,48.414559999999994,-123.38658000000001,0.0,-117.8,511.0,PACIFIC PILOT TWO,,CG2436,,under way using engine,18.78,5.06,2.29,0.0
23634692,316018038,2015-01-31 23:56:38,48.4268,-123.39686,0.0,0.0,511.0,CIAO,,,1019.0,,13.5,4.82,1.32,
23614981,338899000,2015-01-31 23:56:34,48.12572,-123.44474,0.0,-117.3,113.0,COMMITMENT,IMO9369411,WDE3894,1025.0,moored,40.05,12.8,6.86,31.0
23615443,351752000,2015-01-31 23:56:29,48.33862,-123.36525,0.0,23.0,90.0,CIELO DI AMALFI,IMO9374349,3ENR2,1004.0,at anchor,177.85,28.6,10.87,91.0
23652852,316002500,2015-01-31 23:56:27,48.43108,-123.37591,0.0,-169.3,265.0,ORCA CHIEF,IMO9165499,CFL9619,1001.0,undefined,34.52,9.5,5.06,
23628547,316021382,2015-01-31 23:56:24,48.42342,-123.38428,0.0,-134.9,511.0,BLACK HAWK II,,,,,12.8,5.64,2.01,
23634144,316026746,2015-01-31 23:56:19,48.36984,-123.72598,0.1,14.2,511.0,EDGE,,,1001.0,,11.13,3.9,1.52,
23632072,316009747,2015-01-31 23:56:17,48.433440000000004,-123.43397,0.0,151.6,163.0,HMCS RAVEN,,CGAM,1018.0,moored,0.0,0.0,0.0,35.0
23617089,316013431,2015-01-31 23:56:15,48.41465,-123.38623,0.0,-119.8,247.0,PACIFIC SCOUT,,,,undefined,19.0,6.06,2.88,50.0
23628068,367001670,2015-01-31 23:56:11,48.12547,-123.45228,0.0,9.4,511.0,VULCAN,,WB4266,1025.0,under way using engine,21.98,5.5,0.0,52.0
23614582,316005724,2015-01-31 23:56:09,48.41471,-123.38552,0.1,139.6,511.0,CHARLES H CATES IV,,,1025.0,under way using engine,14.23,5.36,1.71,52.0
23613826,316013711,2015-01-31 23:56:05,48.43974,-123.44742,0.0,-108.5,292.0,CFAV GLENDYNE,,CGNF,,under way using engine,29.0,0.0,0.0,
23655433,316004946,2015-01-31 23:56:01,48.42502,-123.37076,0.0,50.2,511.0,MARAUDER IV,,,1012.0,,15.88,5.09,1.22,
23617115,211378370,2015-01-31 23:55:59,48.238479999999996,-123.98058,14.5,107.9,106.0,HANJIN BRUSSELS,IMO9200691,DIGW,71.0,under way using engine,278.0,40.0,12.3,71.0
23630151,316010312,2015-01-31 23:55:57,48.3797,-123.51032,4.4,159.6,511.0,RAMPART,,CFK9385,1019.0,,0.0,0.0,0.0,
23632966,211378360,2015-01-31 23:55:54,48.13346,-123.43396000000001,0.0,-150.6,259.0,HANJIN OTTAWA,IMO9200718,DANM,1004.0,at anchor,278.08,40.3,14.0,79.0
