time_1,mmsi_1,time_2,mmsi_2
2015-01-31 23:35:11,366825190,2015-01-31 23:35:11,316013711
2015-01-31 23:35:29,352910000,2015-01-31 23:35:29,351752000
2015-01-31 23:35:58,366824910,2015-01-31 23:35:58,316005175
2015-01-31 23:37:30,369077000,2015-01-31 23:37:30,367528820
2015-01-31 23:37:32,366910890,2015-01-31 23:37:32,366825190
2015-01-31 23:38:08,366824910,2015-01-31 23:38:08,316005724
2015-01-31 23:38:26,351752000,2015-01-31 23:38:26,316013431
2015-01-31 23:38:34,338899000,2015-01-31 23:38:34,316013711
2015-01-31 23:39:00,316003537,2015-01-31 23:39:00,316003657
2015-01-31 23:39:32,311037800,2015-01-31 23:39:32,316010312
2015-01-31 23:40:28,366824910,2015-01-31 23:40:28,367528820
2015-01-31 23:41:00,369077000,2015-01-31 23:41:00,366825190
2015-01-31 23:41:29,367565030,2015-01-31 23:41:29,351752000
2015-01-31 23:42:09,316005724,2015-01-31 23:42:09,369077000
2015-01-31 23:43:21,366825190,2015-01-31 23:43:21,316004410
2015-01-31 23:43:48,316005724,2015-01-31 23:43:48,316002500
2015-01-31 23:44:07,316013431,2015-01-31 23:44:07,316005175
2015-01-31 23:44:07,316011773,2015-01-31 23:44:07,316005175
2015-01-31 23:44:07,316011773,2015-01-31 23:44:07,316013431
2015-01-31 23:45:08,316011773,2015-01-31 23:45:08,366824910
2015-01-31 23:45:28,316014919,2015-01-31 23:45:28,367565030
2015-01-31 23:46:04,234270000,2015-01-31 23:46:04,316001538
2015-01-31 23:46:31,366910890,2015-01-31 23:46:31,366825190
2015-01-31 23:47:36,316013431,2015-01-31 23:47:36,316018038
2015-01-31 23:47:49,352910000,2015-01-31 23:47:49,369077000
2015-01-31 23:48:31,316010312,2015-01-31 23:48:31,316003657
2015-01-31 23:48:56,352910000,2015-01-31 23:48:56,316013431
2015-01-31 23:49:24,316004410,2015-01-31 23:49:24,316013711
2015-01-31 23:49:57,367565030,2015-01-31 23:49:57,352910000
2015-01-31 23:50:00,369077000,2015-01-31 23:50:00,366825190
2015-01-31 23:51:45,316116000,2015-01-31 23:51:45,368168000
2015-01-31 23:52:04,316001538,2015-01-31 23:52:04,316013711
2015-01-31 23:52:19,352910000,2015-01-31 23:52:19,369077000
2015-01-31 23:52:21,366825190,2015-01-31 23:52:21,316004410
2015-01-31 23:52:58,367565030,2015-01-31 23:52:58,316002500
2015-01-31 23:53:18,316026746,2015-01-31 23:53:18,316011773
2015-01-31 23:54:32,316010312,2015-01-31 23:54:32,316003657
2015-01-31 23:54:32,311037800,2015-01-31 23:54:32,316003657
2015-01-31 23:54:32,311037800,2015-01-31 23:54:32,316010312
2015-01-31 23:54:37,352910000,2015-01-31 23:54:37,316005175
2015-01-31 23:55:38,316005175,2015-01-31 23:55:38,316011773
2015-01-31 23:55:38,352910000,2015-01-31 23:55:38,316011773
2015-01-31 23:55:38,352910000,2015-01-31 23:55:38,316005175
2015-01-31 23:55:39,367086320,2015-01-31 23:55:39,369077000
2015-01-31 23:56:39,316005175,2015-01-31 23:56:39,366980250
2015-01-31 23:56:49,352910000,2015-01-31 23:56:49,316011773
2015-01-31 23:56:49,369077000,2015-01-31 23:56:49,316011773
2015-01-31 23:56:49,369077000,2015-01-31 23:56:49,352910000
2015-01-31 23:57:45,316013431,2015-01-31 23:57:45,316116000
2015-01-31 23:57:57,352910000,2015-01-31 23:57:57,316011773
2015-01-31 23:57:58,366824910,2015-01-31 23:57:58,316005724
2015-01-31 23:58:47,636014569,2015-01-31 23:58:47,316002500
2015-01-31 23:59:07,316011773,2015-01-31 23:59:07,316005175
2015-01-31 23:59:07,366824910,2015-01-31 23:59:07,316005175
2015-01-31 23:59:07,366824910,2015-01-31 23:59:07,316011773
2015-01-31 23:59:09,369077000,2015-01-31 23:59:09,352910000
2015-01-31 23:59:23,367565030,2015-01-31 23:59:23,316021382
