MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo
367347000,2015-01-01T00:03:58,48.51272,-122.64515,0.0,-201.2,511.0,WENDY SEAA,IMO6418625,WDD4689,1001,moored,36.5800,7.6000,3.2000,
316001068,2015-01-01T00:03:41,49.19536,-122.90738,0.0,-104.8,158.0,ARCTIC HOOPER,IMO7601786,VD3837,1025,under way using engine,33.5300,10.8300,3.9500,31
367403070,2015-01-01T00:04:14,48.00285,-122.22266,0.0,-89.7,511.0,SEA JAY,,WDE8232,1019,,19.7800,5.3000,0.0000,
367513210,2015-01-01T00:02:33,45.56014,-122.72822,0.0,-127.8,511.0,UMATILLA,IMO8851015,WDG2202,1025,moored,18.4100,7.3000,0.0000,
316013539,2015-01-01T00:02:35,49.34572,-123.53374,1.5,132.2,511.0,STORMFORCE,IMO7629233,CZ7003,1025,under way using engine,19.5700,7.6800,3.2000,
366824910,2015-01-01T00:03:31,48.14068,-123.42550,0.0,-90.8,292.0,JUAN DE FUCA,,WDA5852,1001,undefined,22.6500,6.0000,0.0000,90
367403610,2015-01-01T00:03:38,47.63430,-122.32897,0.0,140.0,511.0,HOS SILVER ARROW,IMO9495533,WDE8275,1010,under way using engine,73.8400,16.6100,4.4700,70
319251000,2015-01-01T00:04:18,47.66122,-122.38440,0.0,-186.6,32.0,EVVIVA,IMO9423401,ZCPT2,37,moored,50.0000,10.0000,2.5000,37
247242300,2015-01-01T00:04:23,37.95115,-121.33432,0.0,192.0,221.0,MEDI VENEZIA,IMO9302774,ICKI,1004,moored,224.9400,32.2600,14.1400,90
367492890,2015-01-01T00:00:10,47.82798,-122.47211,8.6,168.2,168.0,ISLAND TRADER,,WDF8244,1001,at anchor,26.1200,8.6000,0.0000,30
316001349,2015-01-01T00:00:09,47.47084,-122.39916,5.4,-62.2,348.0,ISLAND DEFENDER,IMO8972730,CZ8755,1025,under way using engine,21.0300,7.3000,2.8300,52
338143792,2015-01-01T00:00:25,48.60222,-122.68354,10.2,114.2,112.0,SWAN,,,1019,,17.2500,0.0000,0.0000,
366971000,2015-01-01T00:00:08,45.55033,-122.70243,0.0,-180.4,311.0,YAQUINA,IMO7923445,AEPD,1018,under way using engine,60.9700,17.6800,3.6600,33
367486660,2015-01-01T00:00:29,47.65443,-122.20655,0.0,-92.5,511.0,SATISFACTION,,WDF7649,1019,,14.6300,4.7000,0.0000,
367347000,2015-01-01T00:00:58,48.51272,-122.64518,0.0,-198.8,511.0,WENDY SEAA,IMO6418625,WDD4689,1001,moored,36.5800,7.6000,3.2000,
367492890,2015-01-01T00:01:20,47.82530,-122.47124,8.6,169.0,170.0,ISLAND TRADER,,WDF8244,1001,at anchor,26.1200,8.6000,0.0000,30
316020067,2015-01-01T00:02:39,49.15463,-122.96200,0.0,-93.4,511.0,SHUSWAP,IMO9632650,,1025,undefined,17.6800,8.6100,3.9100,
247242300,2015-01-01T00:01:23,37.95117,-121.33432,0.0,192.0,221.0,MEDI VENEZIA,IMO9302774,ICKI,1004,moored,224.9400,32.2600,14.1400,90
367084590,2015-01-01T00:00:10,47.66697,-122.38879,0.0,-106.4,511.0,STARWARD,IMO8016536,WDC8284,1001,under way using engine,37.3700,9.4400,4.8800,0
367537590,2015-01-01T00:04:09,45.60202,-122.65871,0.0,7.0,511.0,NO DRAMA,,WDG4536,1019,,12.4400,0.0000,0.0000,
338163312,2015-01-01T00:00:56,45.69801,-122.86922,0.0,115.3,511.0,WILLOUGHBY,,,1019,,9.9700,0.0000,0.0000,
303890000,2015-01-01T00:04:22,47.55815,-122.63254,0.0,-118.0,511.0,BRITTIN,IMO9193575,NBVJ,1004,moored,289.3300,32.3000,10.9400,90
367492890,2015-01-01T00:04:38,47.81755,-122.46858,8.6,165.3,168.0,ISLAND TRADER,,WDF8244,1001,at anchor,26.1200,8.6000,0.0000,30
316013431,2015-01-01T00:00:04,48.41466,-123.38626,0.0,-95.7,247.0,PACIFIC SCOUT,,,,undefined,19.0000,6.0600,2.8800,50
303890000,2015-01-01T00:01:22,47.55816,-122.63254,0.0,-118.0,511.0,BRITTIN,IMO9193575,NBVJ,1004,moored,289.3300,32.3000,10.9400,90
367145610,2015-01-01T00:04:20,47.72290,-122.64095,0.0,0.0,511.0,SEA MIST,,WDD4507,1013,,22.2500,6.5000,0.0000,
316013431,2015-01-01T00:02:24,48.41468,-123.38626,0.0,-94.2,247.0,PACIFIC SCOUT,,,,undefined,19.0000,6.0600,2.8800,50
366985270,2015-01-01T00:00:08,37.82351,-122.41542,11.8,121.1,120.0,HARBOR EMPEROR,,WCY6430,1012,under way using engine,25.3000,9.8000,0.0000,
367013050,2015-01-01T00:02:36,47.64630,-122.34658,6.6,125.4,511.0,GOODTIME III,,WSX5383,1012,under way using engine,22.2200,7.3000,0.0000,0
367589090,2015-01-01T00:00:28,37.49269,-122.51851,5.9,141.0,511.0,AVENTURA,,WDG9567,1019,,11.1600,0.0000,0.0000,
316013539,2015-01-01T00:00:04,49.34627,-123.53507,1.5,130.5,511.0,STORMFORCE,IMO7629233,CZ7003,1025,under way using engine,19.5700,7.6800,3.2000,
367516350,2015-01-01T00:04:04,46.19034,-123.85659,0.0,0.0,511.0,MISS MOLLY,,WDG2509,1012,,13.4700,4.6000,0.0000,
316003871,2015-01-01T00:00:10,49.27199,-123.13865,0.0,199.0,511.0,RICHARDSON POINT,,,,under way using engine,18.6800,5.1800,2.1900,90
368798000,2015-01-01T00:01:06,37.78017,-122.24983,0.0,-128.6,307.0,CG STRATTON,,NHTC,1018,under way using engine,127.4100,16.4600,0.0000,35
